10, interactiveType, interactiveID, actionType    , actionInterfaceID, coolingTime, indicatorType, iconTextureID
 0, DotExternalSet ,             0, MTriggerOnHit ,                 1,           1, Circle       ,            34
 1, DotExternalSet ,             1, MNearestTarget,                 0,           2, Circle       ,            35
 2, DotExternalSet ,             0, MNearestTarget,                 0,          10, Circle       ,            35
 3, DotExternalSet ,             3, MAreaFixedDis ,                 0,           1, Circle       ,            35
 4, DotExternalSet ,             0, MBuffSelf     ,                 0,           1, Circle       ,            22
 5, DotExternalSet ,             3, MAreaFixedDis ,                 0,           1, FixedLinear  ,            33
 6, DotExternalSet ,             1, MNearestTarget,                 1,           2, Circle       ,            35
 7, DotExternalSet ,             1, MTriggerOnHit ,                 1,           2, Circle       ,            34
 8, DotExternalSet ,             2, MTriggerOnHit ,                 3,           2, Circle       ,            34
 9, DotExternalSet ,             3, MTriggerOnHit ,                 3,           2, Circle       ,            34
