23, buffType , buffModifiersID, duration, textureName                              , rarity
 0, Common   ,               0, 1       , Textures/Equipment/moveSpeed1.png        ,      0
 1, Common   ,               1, 1       , Textures/Equipment/coolingAccelerate1.png,      0
 2, Common   ,               2, 1       , Textures/Equipment/moveSpeed2.png        ,      2
 3, Common   ,               3, 1       , Textures/Equipment/coolingAccelerate2.png,      5
 4, Common   ,               4, 1       , Textures/Equipment/damage1.png           ,      0
 5, Common   ,               5, 1       , Textures/Equipment/universal1.png        ,      3
 6, Common   ,               6, 1       , Textures/Equipment/defense1.png          ,      1
 7, Common   ,               7, 1       , Textures/Equipment/attackSpeed1.png      ,      2
 8, Common   ,               8, 1       , Textures/Equipment/agility1.png          ,      2
 9, Common   ,               9, 1       , Textures/Equipment/intelligence1.png     ,      2
10, Common   ,              10, 1       , Textures/Equipment/strength1.png         ,      2
11, Equipment,               0, -1      , Textures/Equipment/moveSpeed1.png        ,      0
12, Equipment,               1, -1      , Textures/Equipment/coolingAccelerate1.png,      0
13, Equipment,               2, -1      , Textures/Equipment/moveSpeed2.png        ,      2
14, Equipment,               3, -1      , Textures/Equipment/coolingAccelerate2.png,      5
15, Equipment,               4, -1      , Textures/Equipment/damage1.png           ,      0
16, Equipment,               5, -1      , Textures/Equipment/universal1.png        ,      3
17, Equipment,               6, -1      , Textures/Equipment/defense1.png          ,      1
18, Equipment,               7, -1      , Textures/Equipment/attackSpeed1.png      ,      2
19, Equipment,               8, -1      , Textures/Equipment/agility1.png          ,      2
20, Equipment,               9, -1      , Textures/Equipment/intelligence1.png     ,      2
21, Equipment,              10, -1      , Textures/Equipment/strength1.png         ,      2
22, Equipment,              11, -1      , Textures/Equipment/strength1.png         ,      5
