28, secondType         , secondId
 0, Equipment          ,       0
 1, Equipment          ,       1
 2, Equipment          ,       2
 3, Equipment          ,       3
 4, Equipment          ,       4
 5, Equipment          ,       5
 6, Equipment          ,       6
 7, Equipment          ,       7
 8, Equipment          ,       8
 9, Equipment          ,       9
10, Equipment          ,       10
11, SpellActionModifier,       13
12, SpellActionModifier,       14
13, SpellActionModifier,       15
14, SpellActionModifier,       16
15, SpellActionModifier,        4
16, SpellActionModifier,        5
17, SpellActionModifier,        6
18, SpellActionModifier,        7
19, SpellActionModifier,        0
20, SpellActionModifier,        1
21, SpellActionModifier,        2
22, SpellActionModifier,        3
23, SpellActionModifier,        9
24, SpellActionModifier,       10
25, SpellActionModifier,       11
26, SpellActionModifier,       12
27, Equipment          ,       11
