16, id, name             , textureName
 0,  0, universal        , Textures/universalIcon
 1,  1, moveSpeed        , Textures/moveSpeedIcon
 2,  2, strength         , Textures/strengthIcon
 3,  3, attackSpeed      , Textures/attackSpeedIcon
 4,  4, agility          , Textures/agilityIcon
 5,  5, defense          , Textures/DefenseIcon
 6,  6, intelligence     , Textures/intelligenceIcon
 7,  7, damage           , Textures/DamageIcon
 8,  8, currHP           , Textures/Spell_Speeder
 9,  9, maxHP            , Textures/AttrIcon/healthIcon.png
10, 10, currMana         , Textures/Spell_Speeder
11, 11, maxMana          , Textures/Spell_Speeder
12, 12, coolingAccelerate, Textures/AttrIcon/spellAccelerateIcon.png
13, 13, rotateSpeed      , Textures/Spell_Speeder
14, 14, attackRange      , Textures/AttrIcon/attackRangeIcon.png
15, 15, healthRegen      , Textures/AttrIcon/healthRegenIcon.png
