10, type         , id, textureName                    , rarity, price
 0, InventoryItem,  2,                                ,      0,     1
 1, InventoryItem,  4,                                ,      1,     1
 2, InventoryItem,  8,                                ,      2,     1
 3, InventoryItem,  1,                                ,      3,     1
 4, InventoryItem,  1,                                ,      4,     1
 5, Buff         ,  1, Textures/Increasing/Attack.png ,      0,     1
 6, Modifier     ,  2, Textures/Increasing/Defense.png,      1,     1
 7, Modifier     ,  3, Textures/Increasing/Health.png ,      2,     1
 8, Modifier     ,  4, Textures/Increasing/Magic.png  ,      3,     1
 9, Modifier     ,  5, Textures/Increasing/Move.png   ,      4,     1
