27,Tag,iconTextureID,buffID,spellActionModifierType,spellActionModifyerID
0,Equipment,22,0,None,-1
1,Equipment,23,1,None,-1
2,Equipment,24,2,None,-1
3,Equipment,25,3,None,-1
4,Equipment,26,4,None,-1
5,Equipment,27,5,None,-1
6,Equipment,28,6,None,-1
7,Equipment,29,7,None,-1
8,Equipment,30,8,None,-1
9,Equipment,31,9,None,-1
10,Equipment,32,10,None,-1

11,SpellActionModify,36,-1,MultipleModifier,1
12,SpellActionModify,37,-1,MultipleModifier,2
13,SpellActionModify,38,-1,MultipleModifier,3
14,SpellActionModify,39,-1,MultipleModifier,4

15,SpellActionModify,40,-1,FlyingDistanceModifier,0
16,SpellActionModify,41,-1,FlyingDistanceModifier,1
17,SpellActionModify,42,-1,FlyingDistanceModifier,2
18,SpellActionModify,43,-1,FlyingDistanceModifier,3

19,SpellActionModify,44,-1,FireDisfuseModifier,0
20,SpellActionModify,45,-1,FireDisfuseModifier,2
21,SpellActionModify,46,-1,FireDisfuseModifier,1
22,SpellActionModify,47,-1,FireDisfuseModifier,3

23,SpellActionModify,48,-1,FlyingNumModifier,1
24,SpellActionModify,49,-1,FlyingNumModifier,2
25,SpellActionModify,50,-1,FlyingNumModifier,3
26,SpellActionModify,51,-1,FlyingNumModifier,4
