22, infomation
 0, "{K.Inc} <color=green>50%</color> {K.MovSpd}"
 1, "{K.Inc} <color=green>100</color> {K.SplAcc}"
 2, "{K.Inc} <color=green>1</color> {K.MovSpd}{\n}{K.Inc} <color=green>10%</color>{K.Curr}{K.MovSpd}{\n}{K.Inc}<color=green>10%</color> {K.Sum}{K.MovSpd}"
 3, "{K.Inc} <color=green>1000</color> {K.SplAcc}"
 4, "{K.Inc} <color=green>10</color> {K.Dmg}"
 5, "{K.Inc} <color=green>10</color> {K.Uni}"
 6, "{K.Inc} <color=green>10</color> {K.Def}"
 7, "{K.Inc} <color=green>100</color> {K.AtkSpd}"
 8, "{K.Inc} <color=green>10</color> {K.Agi}"
 9, "{K.Inc} <color=green>10</color> {K.Intl}"
10, "{K.Inc} <color=green>10</color> {K.Strn}"
11, "{K.Inc} <color=green>50%</color> {K.MovSpd}"
12, "{K.Inc} <color=green>100</color> {K.SplAcc}"
13, "{K.Inc} <color=green>1</color> {K.MovSpd}{\n}{K.Inc} <color=green>10%</color>{K.Curr}{K.MovSpd}{\n}{K.Inc}<color=green>10%</color> {K.Sum}{K.MovSpd}"
14, "{K.Inc} <color=green>1000</color> {K.SplAcc}"
15, "{K.Inc} <color=green>10</color> {K.Dmg}"
16, "{K.Inc} <color=green>10</color> {K.Uni}"
17, "{K.Inc} <color=green>10</color> {K.Def}"
18, "{K.Inc} <color=green>100</color> {K.AtkSpd}"
19, "{K.Inc} <color=green>10</color> {K.Agi}"
20, "{K.Inc} <color=green>10</color> {K.Intl}"
21, "{K.Inc} <color=green>10</color> {K.Strn}"
