27,infomation
0, "{k0} <color=green>50%</color> {k1}"
1, "{k0} <color=green>100</color> {k2}"
2, "{k0} <color=green>1</color>, {k4} <color=green>10%</color>, {k5} <color=green>10%</color> {k1}"
3, "{k0} <color=green>1000</color> {k2}"
4, "{k0} <color=green>10</color> {k3}"
5, "{k0} <color=green>10</color> {k6}"
6, "{k0} <color=green>10</color> {k10}"
7, "{k0} <color=green>100</color> {k11}"
8, "{k0} <color=green>10</color> {k8}"
9, "{k0} <color=green>10</color> {k9}"
10, "{k0} <color=green>10</color> {k7}"

11,"{k0} <color=green>1</color> {k12}"
12,"{k0} <color=green>2</color> {k12}"
13,"{k0} <color=green>3</color> {k12}"
14,"{k0} <color=green>4</color> {k12}"

15,"{k0} <color=green>1</color> {k13}"
16,"{k0} <color=green>2</color> {k13}"
17,"{k0} <color=green>4</color> {k13}"
18,"{k0} <color=green>8</color> {k13}"

19,"{k0} <color=green>30</color> {k14}"
20,"{k0} <color=green>60</color> {k14}"
21,"{k0} <color=green>-30</color> {k14}"
22,"{k0} <color=green>-60</color> {k14}"

23,"{k0} <color=green>1</color> {k15}"
24,"{k0} <color=green>2</color> {k15}"
25,"{k0} <color=green>3</color> {k15}"
26,"{k0} <color=green>4</color> {k15}"
