15, infomation
 0, "{K.Inc} <color=green>10</color> {K.Uni}"
 1, "{K.Inc} <color=green>10</color> {K.MovSpd}"
 2, "{K.Inc} <color=green>10</color> {K.Strn}"
 3, "{K.Inc} <color=green>10</color> {K.AtkSpd}"
 4, "{K.Inc} <color=green>10</color> {K.Agi}"
 5, "{K.Inc} <color=green>10</color> {K.Def}"
 6, "{K.Inc} <color=green>10</color> {K.Intl}"
 7, "{K.Inc} <color=green>10</color> {K.Dmg}"
 8, "{K.Inc} <color=green>10</color> {K.CurHP}"
 9, "{K.Inc} <color=green>10</color> {K.MaxHP}"
10, "{K.Inc} <color=green>10</color> {K.CurMN}"
11, "{K.Inc} <color=green>10</color> {K.MaxMN}"
12, "{K.Inc} <color=green>10</color> {K.SplAcc}"
13, "{K.Inc} <color=green>10</color> {K.RotSpd}"
14, "{K.Inc} <color=green>10</color> {K.Range}"
