17, infomation
 0, "{K.Inc} <color=green>30</color> {K.ProjDfu}"
 1, "{K.Inc} <color=green>60</color> {K.ProjDfu}"
 2, "{K.Inc} <color=green>-30</color> {K.ProjDfu}"
 3, "{K.Inc} <color=green>-60</color> {K.ProjDfu}"
 4, "{K.Inc} <color=green>1</color> {K.SplDis}"
 5, "{K.Inc} <color=green>2</color> {K.SplDis}"
 6, "{K.Inc} <color=green>4</color> {K.SplDis}"
 7, "{K.Inc} <color=green>8</color> {K.SplDis}"
 8, "{K.Inc} <color=green>16</color> {K.SplDis}"
 9, "{K.Inc} <color=green>1</color> {K.ProjNum}"
10, "{K.Inc} <color=green>2</color> {K.ProjNum}"
11, "{K.Inc} <color=green>3</color> {K.ProjNum}"
12, "{K.Inc} <color=green>4</color> {K.ProjNum}"
13, "{K.Inc} <color=green>1</color> {K.SplMuti}"
14, "{K.Inc} <color=green>2</color> {K.SplMuti}"
15, "{K.Inc} <color=green>3</color> {K.SplMuti}"
16, "{K.Inc} <color=green>4</color> {K.SplMuti}"
